repo_id,repo_name,stars,openrank_2025,language,created_at,description,avatar_url
662766482,qodo-ai/pr-agent,7611,79.0,Python,2023-07-05,"🚀 PR-Agent (Qodo Merge open-source): An AI-Powered 🤖 Tool for Automated Pull Request Analysis, Feedback, Suggestions and More! 💻🔍",https://avatars.githubusercontent.com/u/183290039?v=4
638629097,Aider-AI/aider,31790,372.0,Python,2023-05-09,aider is AI pair programming in your terminal,https://avatars.githubusercontent.com/u/172139148?v=4
775250190,stitionai/devika,19182,6.0,Python,2024-03-21,"Devika is an Agentic AI Software Engineer that can understand high-level human instructions, break them down into steps, research relevant information, and write code to achieve the given objective. Devika aims to be a competitive open-source alternative to Devin by Cognition AI. [⚠️ DEVIKA DOES NOT HAVE AN OFFICIAL WEBSITE ⚠️]",https://avatars.githubusercontent.com/u/153954657?v=4
156332497,codota/TabNine,10757,5.0,Shell,2018-11-06,AI Code Completions,https://avatars.githubusercontent.com/u/6810259?v=4
679237742,Pythagora-io/gpt-pilot,32608,4.0,Python,2023-08-16,The first real AI developer,https://avatars.githubusercontent.com/u/123263103?v=4
634224458,AntonOsika/gpt-engineer,53949,3.0,Python,2023-04-29,CLI platform to experiment with codegen. Precursor to: https://lovable.dev,https://avatars.githubusercontent.com/u/4467025?v=4
653574784,sweepai/sweep,7548,2.0,Jupyter Notebook,2023-06-14,Sweep: AI coding assistant for JetBrains,https://avatars.githubusercontent.com/u/127925974?v=4
675431271,codestoryai/aide,2134,22.0,TypeScript,2023-08-06,The open-source AI-native IDE,https://avatars.githubusercontent.com/u/135339264?v=4
943934999,mannaandpoem/OpenManus,44263,164.0,Python,2025-03-06,"No fortress, purely open ground.  OpenManus is Coming.",https://avatars.githubusercontent.com/u/52203545?v=4
942114501,camel-ai/OWL,15801,,Python,2025-03-03,🦉 OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,https://avatars.githubusercontent.com/u/134388954?v=4
622737738,yoheinakajima/babyagi,21387,1.0,Python,2023-04-03,,https://avatars.githubusercontent.com/u/1701418?v=4
612344730,ChatGPTNextWeb/NextChat,82914,137.0,TypeScript,2023-03-10,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,https://avatars.githubusercontent.com/u/153288546?v=4
610260322,chatboxai/chatbox,34366,120.0,TypeScript,2023-03-06,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)",https://avatars.githubusercontent.com/u/199570308?v=4
656099147,mem0ai/mem0,27793,98.0,Python,2023-06-20,The Memory layer for AI Agents,https://avatars.githubusercontent.com/u/137054526?v=4
703411624,letta-ai/letta,16113,84.0,Python,2023-10-11,"Letta (formerly MemGPT) is the stateful agents framework with memory, reasoning, and context management.",https://avatars.githubusercontent.com/u/177780362?v=4
784181462,ItzCrazyKns/Perplexica,21437,65.0,TypeScript,2024-04-09,Perplexica is an AI-powered search engine. It is an Open source alternative to Perplexity AI,https://avatars.githubusercontent.com/u/95534749?v=4
747030811,leptonai/search_with_lepton,8093,1.0,TypeScript,2024-01-23,Building a quick conversation-based search demo with Lepton AI.,https://avatars.githubusercontent.com/u/124112888?v=4
834688418,InternLM/MindSearch,6320,17.0,JavaScript,2024-07-28,🔍 An LLM-based Multi-agent Framework of Web Search Engine (like Perplexity.ai Pro and SearchGPT),https://avatars.githubusercontent.com/u/135356492?v=4
839372398,zaidmukaddam/scira,7743,31.0,TypeScript,2024-08-07,Scira (Formerly MiniPerplx) is a minimalistic AI-powered search engine that helps you find information on the internet. Powered by Vercel AI SDK! Search with models like Grok 2.0.,https://avatars.githubusercontent.com/u/76097144?v=4
782539945,miurla/morphic,7361,23.0,TypeScript,2024-04-05,An AI-powered search engine with a generative UI,https://avatars.githubusercontent.com/u/3412179?v=4
576642715,BloopAI/bloop,9472,1.0,Rust,2022-12-10,bloop is a fast code search engine written in Rust.,https://avatars.githubusercontent.com/u/75376775?v=4
910418754,nanobrowser/nanobrowser,5239,15.0,TypeScript,2024-12-31,Open-Source Chrome extension for AI-powered web automation. Run multi-agent workflows using your own LLM API key. Alternative to OpenAI Operator.,https://avatars.githubusercontent.com/u/180927616?v=4
357241735,searxng/searxng,18532,99.0,Python,2021-04-12,SearXNG is a free internet metasearch engine which aggregates results from various search services and databases. Users are neither tracked nor profiled.,https://avatars.githubusercontent.com/u/80454229?v=4
644461337,vercel/ai,13605,321.0,TypeScript,2023-05-23,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents ",https://avatars.githubusercontent.com/u/14985020?v=4
881458615,browser-use/browser-use,57357,270.0,Python,2024-10-31,Make websites accessible for AI agents,https://avatars.githubusercontent.com/u/192012301?v=4
958830659,google/adk-python,7417,,Python,2025-04-01,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",https://avatars.githubusercontent.com/u/1342004?v=4
860252770,microsoft/OmniParser,21752,58.0,Jupyter Notebook,2024-09-20,A simple screen parsing tool towards pure vision based GUI agent,https://avatars.githubusercontent.com/u/6154722?v=4
666299222,OpenInterpreter/open-interpreter,59173,26.0,Python,2023-07-14,A natural language interface for computers,https://avatars.githubusercontent.com/u/163192481?v=4
464415161,getlago/lago,7565,12.0,Go,2022-02-28,"Open Source Metering and Usage Based Billing API ⭐️ Consumption tracking, Subscription management, Pricing iterations, Payment orchestration & Revenue analytics",https://avatars.githubusercontent.com/u/75492405?v=4
701547123,open-webui/open-webui,90755,735.0,JavaScript,2023-10-06,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",https://avatars.githubusercontent.com/u/158137808?v=4
589831718,comfyanonymous/ComfyUI,74941,446.0,Python,2023-01-17,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",https://avatars.githubusercontent.com/u/121283862?v=4
580642043,oobabooga/text-generation-webui,43278,82.0,Python,2022-12-21,A Gradio web UI for Large Language Models with support for multiple inference backends.,https://avatars.githubusercontent.com/u/112222186?v=4
527591471,AUTOMATIC1111/stable-diffusion-webui,151602,55.0,Python,2022-08-22,Stable Diffusion web UI,https://avatars.githubusercontent.com/u/20920490?v=4
881448795,e2b-dev/open-computer-use,1053,,Python,2024-10-31,AI computer use powered by open source LLMs and E2B Desktop Sandbox,https://avatars.githubusercontent.com/u/129434473?v=4
553119108,MubertAI/Mubert-Text-to-Music,2740,,Jupyter Notebook,2022-10-17,A simple notebook demonstrating prompt-based music generation via Mubert API,https://avatars.githubusercontent.com/u/116086277?v=4
