repo_name,classification,openrank_25,created_at,stars,forks,language,repo_id,comparev1
pytorch/pytorch,Training Platform,921.0,2016/8/13,91533.0,24673.0,Python,65600975.0,Pre-train
vllm-project/vllm,Inference Engine,637.0,2023/2/9,52280.0,8714.0,Python,599547518.0,Inference Engine
langgenius/dify,Agent Framework - Workflow,467.0,2023/4/12,107062.0,16234.0,TypeScript,626805178.0,Agent Framework - Workflow
tenstorrent/tt-metal,AI Kernel Library,352.0,2023/2/13,998.0,223.0,C++,601205363.0,x
microsoft/vscode-copilot-release,AI Coding,322.0,2023/4/18,971.0,131.0,,629635341.0,x
huggingface/transformers,ML Library,322.0,2018/10/29,146980.0,29640.0,Python,155220641.0,x
CherryHQ/cherry-studio,Client Interface,305.0,2024/5/24,30094.0,2628.0,TypeScript,805155266.0,x
sgl-project/sglang,Inference Engine,299.0,2024/1/8,16017.0,2353.0,Python,740303686.0,Inference Engine
ollama/ollama,Inference Deploy,289.0,2023/6/26,146569.0,12392.0,Go,658928958.0,Inference Deploy
apache/doris,AI Data,286.0,2017/8/10,13944.0,3492.0,Java,99919302.0,x
apache/airflow,Data Integration,286.0,2015/4/13,41009.0,15313.0,Python,33884891.0,Data Integration
openvinotoolkit/openvino,Inference Engine,268.0,2018/10/15,8580.0,2650.0,C++,153097643.0,Inference Engine
BerriAI/litellm,API Management,251.0,2023/7/27,25445.0,3478.0,Python,671269505.0,API Management
open-webui/open-webui,Client Interface,240.0,2023/10/6,102642.0,13717.0,JavaScript,701547123.0,Client Inferface
ggml-org/llama.cpp,Inference Engine,239.0,2023/3/10,83033.0,12355.0,C++,612354784.0,Inference Engine
ray-project/ray,Distributed Processing,235.0,2016/10/25,38009.0,6600.0,Python,71932349.0,Distributed Processing
n8n-io/n8n,Agent Framework - Workflow,234.0,2019/6/22,118372.0,35596.0,TypeScript,193215554.0,Agent Framework - Workflow
ultralytics/ultralytics,ML Library,226.0,2022/9/11,43089.0,8415.0,Python,535360445.0,x
PaddlePaddle/Paddle,Training Platform,215.0,2016/8/15,23031.0,5771.0,C++,65711522.0,Pre-train
infiniflow/ragflow,Agent Framework - Workflow,205.0,2023/12/12,59972.0,5988.0,Python,730534580.0,Agent Framework - Workflow
pytorch/executorch,Training Platform - Pytorch,202.0,2022/2/25,3034.0,616.0,Python,463628495.0,x
airbytehq/airbyte,AI Data Integration,197.0,2020/7/27,18846.0,4647.0,Python,283046497.0,Data Integration
NVIDIA/NeMo,Training Platform,197.0,2019/8/5,15085.0,2992.0,Python,200722670.0,Pre-train
microsoft/onnxruntime,Inference Engine,193.0,2018/11/10,17201.0,3338.0,C++,156939672.0,Inference Engine
supabase/supabase,Database,188.0,2019/10/12,85698.0,9201.0,TypeScript,214587193.0,x
stackblitz/bolt.new,AI Coding,187.0,2024/9/24,15279.0,13063.0,TypeScript,862449441.0,Coding Assistant
apache/spark,Distributed Processing,187.0,2014/2/25,41459.0,28692.0,Scala,17165658.0,Distributed Processing
continuedev/continue,AI Coding,165.0,2023/5/24,27665.0,3132.0,TypeScript,644686905.0,Coding Assistant
langflow-ai/langflow,Agent Framework,163.0,2023/2/8,86007.0,7078.0,Python,599320067.0,x
elizaOS/eliza,General Assistant,160.0,2024/7/9,16404.0,5278.0,TypeScript,826170402.0,x
lobehub/lobe-chat,Client Interface,156.0,2023/5/21,63468.0,13199.0,TypeScript,643445235.0,Client Inferface
cline/cline,AI Coding,152.0,2024/7/6,47571.0,6210.0,TypeScript,824874689.0,Coding Assistant
milvus-io/milvus,Vector Storage and Search,150.0,2019/9/16,35985.0,3298.0,Go,208728772.0,Vector Storage and Search
comfyanonymous/ComfyUI,Tool use,149.0,2023/1/17,82643.0,9144.0,Python,589831718.0,Tool use
NVIDIA/TensorRT-LLM,Inference Engine,141.0,2023/8/16,11019.0,1587.0,C++,679366051.0,Inference Engine
langchain-ai/langchain,Agent Framework - SDK,139.0,2022/10/17,111498.0,18145.0,Jupyter Notebook,552661142.0,Agent Framework - SDK
huggingface/diffusers,Model Library,132.0,2022/5/30,29796.0,6117.0,Python,498011141.0,x
anthropics/claude-code,AI Coding,131.0,2025/2/22,22994.0,1249.0,PowerShell,937253475.0,x
apache/iceberg,Unstructured Data Governance - Lake Format,130.0,2018/11/19,7716.0,2670.0,Java,158256479.0,Unstructured Data Governance - Lake Format
All-Hands-AI/OpenHands,AI Coding,129.0,2024/3/13,60480.0,7100.0,Python,771302083.0,Coding Assistant
hiyouga/LLaMA-Factory,Post-train,126.0,2023/5/28,54303.0,6655.0,Python,646410686.0,Post-train
volcengine/verl,Post-train,118.0,2024/10/31,11010.0,1825.0,Python,881221486.0,Post-train
opensearch-project/OpenSearch,Vector Storage and Search,118.0,2021/1/29,11132.0,2301.0,Java,334274271.0,Vector Storage and Search
open-metadata/OpenMetadata,Unstructured Data Governance - Catalog,117.0,2021/8/1,7078.0,1322.0,TypeScript,391740664.0,Unstructured Data Governance - Catalog
triton-lang/triton,AI Compiler,116.0,2014/8/30,16176.0,2117.0,MLIR,23496542.0,AI Compiler
vercel/ai,Tool use,115.0,2023/5/23,15759.0,2555.0,TypeScript,644461337.0,Tool use
run-llama/llama_index,Agent Framework - SDK,115.0,2022/11/2,43115.0,6194.0,Python,560704231.0,Agent Framework - SDK
modelscope/ms-swift,Post-train Fine-tune,114.0,2023/8/1,8672.0,746.0,Python,673412924.0,x
unslothai/unsloth,Post-train Fine-tune,110.0,2023/11/29,42088.0,3367.0,Python,725205304.0,Post-train
Aider-AI/aider,AI Coding,109.0,2023/5/9,35568.0,3267.0,Python,638629097.0,Coding Assistant
microsoft/semantic-kernel,Agent Framework - SDK,105.0,2023/2/27,25425.0,4049.0,C#,607289185.0,Agent Framework - SDK
google/adk-python,Agent Framework - SDK,103.0,2025/4/1,10936.0,1451.0,Python,958830659.0,Agent Framework - SDK
block/goose,AI Coding,103.0,2024/8/23,16635.0,1400.0,Rust,846698999.0,x
sourcegraph/cody,AI Coding,103.0,2023/7/10,3759.0,442.0,TypeScript,664592117.0,Coding Assistant
browser-use/browser-use,Tool use,99.0,2024/10/31,65524.0,7505.0,Python,881458615.0,Tool use
pydantic/pydantic-ai,Agent Framework,99.0,2024/6/21,10793.0,1025.0,Python,818331198.0,x
streamlit/streamlit,App Framework,99.0,2019/8/24,40414.0,3575.0,Python,204086862.0,App Framework
datahub-project/datahub,Unstructured Data Governance - Catalog,98.0,2015/11/18,10836.0,3161.0,Java,46398090.0,Unstructured Data Governance - Catalog
jax-ml/jax,Training Platform,97.0,2018/10/25,32808.0,3096.0,Python,154739597.0,Pre-train
mlflow/mlflow,MLOps,97.0,2018/6/5,21234.0,4680.0,Python,136202695.0,MLOps
agno-agi/agno,Agent Framework,94.0,2022/5/4,29977.0,3808.0,Python,488641606.0,x
microsoft/autogen,Agent Framework - SDK,93.0,2023/8/18,47292.0,7187.0,Python,680120071.0,Agent Framework - SDK
danny-avila/LibreChat,Client Interface,92.0,2023/2/12,28082.0,5037.0,TypeScript,600596928.0,x
ai-dynamo/dynamo,Inference Deploy,91.0,2025/3/3,4476.0,487.0,Rust,942206898.0,Inference Deploy
langchain-ai/langgraph,Agent Framework - SDK,90.0,2023/8/9,15752.0,2703.0,Python,676672661.0,Agent Framework - SDK
gradio-app/gradio,App Framework,88.0,2018/12/19,39026.0,2979.0,Python,162405963.0,App Framework
spring-projects/spring-ai,Agent Framework,86.0,2023/6/27,6108.0,1695.0,Java,659402878.0,x
siyuan-note/siyuan,Knowledge Mangement,85.0,2020/8/30,35952.0,2229.0,TypeScript,291438522.0,x
apache/hudi,Unstructured Data Governance - Lake Format,85.0,2016/12/14,5869.0,2429.0,Java,76474200.0,Unstructured Data Governance - Lake Format
livekit/agents,Agent Framework,84.0,2023/10/19,6757.0,1070.0,Python,707441527.0,x
labring/FastGPT,Agent Framework - Workflow,83.0,2023/2/23,25132.0,6461.0,TypeScript,605673387.0,Agent Framework - Workflow
mastra-ai/mastra,Agent Framework,82.0,2024/8/6,15015.0,926.0,TypeScript,839037098.0,x
scikit-learn/scikit-learn,ML Library,82.0,2010/8/17,62653.0,26037.0,Python,843222.0,x
modelcontextprotocol/servers,API Management,80.0,2024/11/19,59643.0,6913.0,TypeScript,890668799.0,API Management
kvcache-ai/ktransformers,Inference Engine,80.0,2024/7/26,14625.0,1042.0,Python,833984877.0,Inference Engine
AI-Hypercomputer/maxtext,Training Platform,80.0,2023/2/28,1835.0,382.0,Python,607845880.0,x
PrefectHQ/prefect,Data Integration,80.0,2018/6/29,19780.0,1863.0,Python,139199684.0,Data Integration
wandb/wandb,MLOps,80.0,2017/3/24,10093.0,755.0,Python,86031674.0,MLOps
apache/gravitino,Unstructured Data Governance - Catalog,79.0,2023/4/23,1703.0,532.0,Java,631431061.0,Unstructured Data Governance - Catalog
apache/paimon,Unstructured Data Governance - Lake Format,78.0,2022/1/12,2885.0,1177.0,Java,447060287.0,Unstructured Data Governance - Lake Format
mannaandpoem/OpenManus,General Assistant,77.0,2025/3/6,48455.0,8485.0,Python,943934999.0,General Assistant
yetone/avante.nvim,AI Coding,77.0,2024/8/14,15111.0,668.0,Lua,842586148.0,x
iree-org/iree,AI Compiler,77.0,2019/9/12,3221.0,726.0,C++,208145128.0,x
marimo-team/marimo,AI Coding,76.0,2023/8/14,14359.0,591.0,Python,678526156.0,x
HumanSignal/label-studio,Data Labeling,74.0,2019/6/19,23258.0,2888.0,JavaScript,192640529.0,Data Labeling
langfuse/langfuse,LLMOps,73.0,2023/5/18,13716.0,1253.0,TypeScript,642497346.0,x
modular/modular,Inference Deploy,73.0,2023/4/28,24500.0,2661.0,Mojo,634043200.0,x
weaviate/weaviate,Vector Storage and Search,73.0,2016/3/30,13922.0,1001.0,Go,55072677.0,Vector Storage and Search
crewAIInc/crewAI,Agent Framework - SDK,72.0,2023/10/27,34245.0,4604.0,Python,710601088.0,Agent Framework - SDK
1Panel-dev/MaxKB,Agent Framework - Workflow,71.0,2023/9/14,17074.0,2216.0,Python,691347156.0,Agent Framework - Workflow
NVIDIA/cccl,AI Kernel Library,71.0,2020/9/17,1762.0,238.0,C++,296416761.0,x
rapidsai/cudf,AI Kernel Library,71.0,2017/5/7,9044.0,957.0,C++,90506918.0,x
opencv/opencv,Model Library,71.0,2012/7/19,83046.0,56215.0,C++,5108051.0,x
intel/intel-xpu-backend-for-triton,AI Kernel Library,70.0,2023/4/23,192.0,67.0,MLIR,631517165.0,x
camel-ai/camel,Agent Framework - SDK,70.0,2023/3/17,13361.0,1442.0,Python,615510678.0,Agent Framework - SDK
chroma-core/chroma,Vector Storage and Search,70.0,2022/10/5,21060.0,1684.0,Rust,546206616.0,Vector Storage and Search
ROCm/composable_kernel,AI Kernel Library,70.0,2021/7/27,437.0,209.0,C++,390032985.0,x
intel/ipex-llm,Inference Deploy,70.0,2016/8/29,8115.0,1359.0,Python,66823715.0,x
tensorflow/tensorflow,Training Platform,69.0,2015/11/7,190746.0,74754.0,C++,45717250.0,Pre-train
firebase/genkit,Agent Framework,68.0,2024/4/29,2576.0,318.0,TypeScript,793795224.0,x
1Panel-dev/1Panel,x,68.0,2022/7/19,29743.0,2589.0,Go,515647260.0,x
Azure/AgentBaker,x,68.0,2020/2/7,123.0,224.0,Go,239001792.0,x
delta-io/delta,Unstructured Data Governance - Lake Format,68.0,2019/4/22,8148.0,1873.0,Scala,182849188.0,Unstructured Data Governance - Lake Format
openai/openai-agents-python,Agent Framework - SDK,67.0,2025/3/11,12600.0,1941.0,Python,946380199.0,Agent Framework - SDK
xinnan-tech/xiaozhi-esp32-server,Chatbot,67.0,2025/2/2,5587.0,1919.0,Python,926087200.0,x
xorbitsai/inference,Inference Deploy,67.0,2023/6/14,8232.0,706.0,Python,653496050.0,Inference Deploy
huggingface/optimum-habana,x,67.0,2022/3/1,190.0,265.0,Python,464909502.0,x
Mintplex-Labs/anything-llm,Client Interface,66.0,2023/6/4,46553.0,4708.0,JavaScript,649170660.0,x
openxla/xla,AI Compiler,65.0,2022/8/9,3347.0,594.0,C++,523007292.0,AI Compiler
google-gemini/gemini-cli,Client Interface,64.0,2025/4/17,59642.0,5477.0,TypeScript,968197216.0,x
comet-ml/opik,LLMOps,64.0,2023/5/10,11282.0,776.0,Python,638951438.0,x
dagger/dagger,"Runtime, CI/CD",64.0,2019/11/20,14218.0,749.0,Go,222824662.0,x
pipecat-ai/pipecat,Voice,63.0,2023/12/27,6830.0,1027.0,Python,736272311.0,x
HKUDS/LightRAG,Knowledge Mangement,62.0,2024/10/2,18410.0,2586.0,Python,866513204.0,x
InternLM/lmdeploy,Inference Engine,62.0,2023/6/15,6711.0,573.0,Python,654122609.0,Inference Engine
sst/opencode,AI Coding,61.0,2025/4/30,12630.0,705.0,Go,975734319.0,x
AstrBotDevs/AstrBot,Chatbot,61.0,2022/12/8,10558.0,744.0,Python,575865240.0,x
Genesis-Embodied-AI/Genesis,Super Agent,59.0,2023/10/31,25821.0,2342.0,Python,712225112.0,x
qdrant/qdrant,Vector Storage and Search,58.0,2020/5/30,24688.0,1701.0,Rust,268163609.0,Vector Storage and Search
keras-team/keras,Training Platform,58.0,2015/3/28,63207.0,19588.0,Python,33015583.0,Pre-train
docling-project/docling,Knowledge Mangement,57.0,2024/7/9,34258.0,2293.0,Python,826168160.0,x
opea-project/GenAIExamples,"Microservice, Enterprise",56.0,2024/3/20,652.0,298.0,Shell,775149161.0,x
activepieces/activepieces,Agent Workflow,56.0,2022/12/3,15811.0,2204.0,TypeScript,573661753.0,x
Arize-ai/phoenix,LLMOps,56.0,2022/11/9,6308.0,488.0,Jupyter Notebook,564072810.0,x
langchain4j/langchain4j,Agent Framework,55.0,2023/6/20,8354.0,1530.0,Java,656264456.0,x
deepspeedai/DeepSpeed,Training Platform,55.0,2020/1/23,39358.0,4472.0,Python,235860204.0,Pre-train
mlrun/mlrun,MLOps,55.0,2019/9/1,1556.0,268.0,Python,205706595.0,MLOps
bytedance/deer-flow,Agent Framework,54.0,2025/5/7,15218.0,1880.0,Python,979115477.0,x
vllm-project/vllm-ascend,Hardware - vLLM,54.0,2025/1/29,877.0,255.0,Python,924058625.0,x
invoke-ai/InvokeAI,Visual,54.0,2022/8/17,25511.0,2612.0,TypeScript,525592995.0,x
cvat-ai/cvat,AI Data - Labeling,54.0,2018/6/29,14057.0,3280.0,Python,139156354.0,Data Labeling
vespa-engine/vespa,AI Data - Labeling,54.0,2016/6/3,6247.0,648.0,Java,60377070.0,x
pytorch/torchtune,Post-train,53.0,2023/10/20,5340.0,652.0,Python,707869465.0,x
FlowiseAI/Flowise,Agent Framework - Workflow,52.0,2023/3/31,41530.0,21299.0,TypeScript,621803253.0,Agent Framework - Workflow
NVIDIA/TransformerEngine,AI Kernel Library,52.0,2022/9/20,2556.0,457.0,Python,539057023.0,x
gpustack/gpustack,Inference Deploy,51.0,2024/5/11,3081.0,312.0,Python,799049436.0,x
onyx-dot-app/onyx,Team Assisitant,51.0,2023/4/27,13152.0,1768.0,Python,633262635.0,x
containers/ramalama,Inference Deploy,50.0,2024/7/24,1903.0,216.0,Python,833306239.0,x
FunAudioLLM/CosyVoice,Voice,50.0,2024/7/3,15176.0,1614.0,Python,823430322.0,x
promptfoo/promptfoo,Evaluation Platform,50.0,2023/4/28,7562.0,606.0,TypeScript,633927609.0,x
dust-tt/dust,General Assistant,50.0,2022/8/19,1160.0,148.0,TypeScript,526514610.0,x
pytorch/xla,AI Compiler,50.0,2018/11/5,2639.0,552.0,Python,156293205.0,x
Kong/kong,API Management,50.0,2014/11/17,41292.0,4950.0,Lua,26783295.0,x
mem0ai/mem0,,,,,,,,
Dao-AILab/flash-attention,AI Kernel Library,,,,,,494232964.0,
deepflowio/deepflow,MLOps,,,,,,448599559.0,
volcano-sh/volcano,Distributed Processing,,,,,,175592968.0,
flashinfer-ai/flashinfer,AI Kernel Library,,,,,,669331976.0,
Unstructured-IO/unstructured,Data Integration,,,,,,541798154.0,
searxng/searxng,AI Search Engine,,,,,,357241735.0,
ComposioHQ/composio,API Management,,,,,,762304524.0,
zenml-io/zenml,MLOps,,,,,,314197645.0,
Significant-Gravitas/AutoGPT,Agent Framework - Workflow,,,,,,614765452.0,
bentoml/BentoML,Inference Deploy,,,,,,178976529.0,
qodo-ai/pr-agent,Coding Assistant,,,,,,662766482.0,
songquanpeng/one-api,API Management,,,,,,631254164.0,
SillyTavern/SillyTavern,Client Inferface,,,,,,599524116.0,
deepset-ai/haystack,Agent Framework - Workflow,,,,,,221654678.0,
mlc-ai/mlc-llm,Inference Deploy,,,,,,634081686.0,
ChatGPTNextWeb/NextChat,Client Inferface,,,,,,612344730.0,
dask/dask,Distributed Processing,,,,,,28782747.0,
lancedb/lancedb,Vector Storage and Search,,,,,,607441698.0,
OpenRLHF/OpenRLHF,Post-train,,,,,,672415139.0,
hpcaitech/ColossalAI,Pre-train,,,,,,422274596.0,
microsoft/graphrag,Agent Framework - SDK,,,,,,778431525.0,
NVIDIA/nccl,AI Kernel Library,,,,,,46153892.0,
huggingface/text-generation-inference,Inference Engine,,,,,,547806116.0,
letta-ai/letta,Agent Framework - SDK,,,,,,703411624.0,
AUTOMATIC1111/stable-diffusion-webui,Client Inferface,,,,,,527591471.0,
lm-sys/FastChat,Evaluation Platform,,,,,,615882673.0,
NVIDIA/cutlass,AI Kernel Library,,,,,,112542515.0,
kserve/kserve,Inference Deploy,,,,,,178075572.0,
kvcache-ai/Mooncake,Inference Deploy,,,,,,819733173.0,
NVIDIA/Megatron-LM,Pre-train,,,,,,176982014.0,
dagster-io/dagster,Data Integration,,,,,,131619646.0,
google/A2A,API Management,,,,,,954873280.0,
flyteorg/flyte,MLOps,,,,,,216628419.0,
dbt-labs/dbt-core,Data Integration,,,,,,53548867.0,
camel-ai/owl,General Assistant,,,,,,942114501.0,
open-compass/opencompass,Evaluation Platform,,,,,,654124617.0,
mem0ai/mem0,Agent Framework - SDK,,,,,,656099147.0,
FoundationAgents/MetaGPT,Agent Framework - SDK,,,,,,660551251.0,
Farama-Foundation/Gymnasium,Post-train,,,,,,534011733.0,
ItzCrazyKns/Perplexica,AI Search Engine,,,,,,784181462.0,
ml-explore/mlx,AI Kernel Library,,,,,,724854743.0,
TabbyML/tabby,Coding Assistant,,,,,,614764248.0,
pgvector/pgvector,Vector Storage and Search,,,,,,359952601.0,
microsoft/OmniParser,Tool use,,,,,,860252770.0,
triton-inference-server/server,Inference Deploy,,,,,,151636194.0,
chatboxai/chatbox,Client Inferface,,,,,,610260322.0,
iterative/datachain,Data Integration,,,,,,820144741.0,
deepseek-ai/DeepEP,AI Kernel Library,,,,,,933928679.0,
Zipstack/unstract,Data Integration,,,,,,761150311.0,
chatchat-space/Langchain-Chatchat,Agent Framework - Workflow,,,,,,621799276.0,
zaidmukaddam/scira,AI Search Engine,,,,,,839372398.0,
mindverse/Second-Me,General Assistant,,,,,,949271792.0,
vllm-project/aibrix,Inference Deploy,,,,,,813348592.0,
eosphoros-ai/DB-GPT,Agent Framework - Workflow,,,,,,627480054.0,
nomic-ai/gpt4all,Inference Deploy,,,,,,619959033.0,
oobabooga/text-generation-webui,Client Inferface,,,,,,580642043.0,
Netflix/metaflow,MLOps,,,,,,209120637.0,
unitycatalog/unitycatalog,Unstructured Data Governance - Catalog,,,,,,814708478.0,
elastic/elasticsearch,Vector Storage and Search,,,,,,507775.0,
